Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,Avg_Salary,salary_float,salary_ratio,GS%,Salary_Rank
James Harden,42,42,37.1,8.0,17.2,.463,2.8,7.8,.358,5.2,9.4,.549,6.5,7.5,.870,0.8,7.2,8.0,10.9,1.2,0.7,4.1,2.3,25.2,NBA,  BKN,G, 31 ,"$42,782,880  ",42782880.0,0.00578,1.0,1
John Wall,40,40,32.2,7.3,18.2,.404,2.0,6.2,.317,5.4,11.9,.449,4.0,5.3,.749,0.4,2.8,3.2,6.9,1.1,0.8,3.5,1.2,20.6,NBA,  HOU,G, 30 ,"$42,782,880  ",42782880.0,0.00578,1.0,2
Russell Westbrook,53,53,35.6,8.3,18.8,.439,1.3,4.1,.315,7.0,14.8,.473,3.9,6.3,.624,1.6,9.4,11.0,10.9,1.3,0.3,5.0,2.8,21.8,NBA,  WAS,G, 31 ,"$41,358,814  ",41358814.0,0.00559,1.0,3
Kevin Durant,25,22,32.5,9.4,17.3,.544,2.5,5.4,.467,6.9,11.9,.579,6.2,7.1,.870,0.4,6.3,6.7,5.2,0.6,1.3,3.6,2.0,27.5,NBA,  BKN,F, 32 ,"$41,063,925  ",41063925.0,0.00555,0.88,4
Stephen Curry,53,53,34.1,10.2,20.9,.489,5.2,12.1,.427,5.1,8.9,.574,5.6,6.1,.917,0.5,5.2,5.6,5.8,1.2,0.1,3.4,1.8,31.3,NBA,  GSW,G, 32 ,"$40,231,758  ",40231758.0,0.00544,1.0,5
Chris Paul,59,59,31.7,6.1,12.5,.486,1.4,3.7,.377,4.7,8.8,.533,2.4,2.6,.928,0.4,4.2,4.6,8.7,1.4,0.2,2.2,2.4,16.0,NBA,  PHX,G, 35 ,"$39,932,648  ",39932648.0,0.0054,1.0,6
LeBron James,41,41,33.9,9.5,18.4,.513,2.4,6.5,.368,7.1,12.0,.592,4.1,5.8,.703,0.6,7.3,7.9,7.9,1.0,0.6,3.7,1.6,25.4,NBA,  LAL,F, 35 ,"$38,328,212  ",38328212.0,0.00518,1.0,7
Anthony Davis,25,25,32.0,8.4,16.5,.512,0.7,2.6,.262,7.8,13.9,.559,4.0,5.6,.714,2.0,6.0,8.0,3.0,1.3,1.7,1.9,1.7,21.6,NBA,  LAL,F, 27 ,"$37,980,720  ",37980720.0,0.00513,1.0,8
Tobias Harris,51,51,33.1,7.9,15.2,.519,1.4,3.5,.403,6.5,11.7,.553,3.1,3.5,.887,1.0,6.2,7.1,3.6,0.9,0.9,1.9,2.0,20.2,NBA,  PHI,F, 28 ,"$36,000,000  ",36000000.0,0.00486,1.0,9
Khris Middleton,58,58,33.2,7.4,15.5,.478,2.2,5.1,.430,5.2,10.4,.502,3.0,3.4,.892,0.8,5.1,5.9,5.4,1.1,0.2,2.7,2.3,20.1,NBA,  MIL,F, 29 ,"$35,500,000  ",35500000.0,0.0048,1.0,10
