,Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,Avg_Salary,salary_float,salary_ratio,Salary_Rank
0,John Wall,39,39,32.0,7.3,18.1,0.403,2.0,6.2,0.322,5.3,11.8,0.446,3.8,5.2,0.743,0.4,2.8,3.2,6.7,1.1,0.7,3.5,1.1,20.4,NBA,  HOU,G,30,"$42,782,880  ",42782880.0,0.00578,1
1,James Harden,42,42,37.1,8.0,17.2,0.463,2.8,7.8,0.358,5.2,9.4,0.549,6.5,7.5,0.87,0.8,7.2,8.0,10.9,1.2,0.7,4.1,2.3,25.2,NBA,  BKN,G,31,"$42,782,880  ",42782880.0,0.00578,2
2,Russell Westbrook,51,51,35.6,8.2,18.9,0.436,1.3,4.1,0.31,6.9,14.7,0.471,3.9,6.3,0.62,1.7,9.5,11.1,10.9,1.3,0.4,5.1,2.8,21.6,NBA,  WAS,G,31,"$41,358,814  ",41358814.0,0.00559,3
3,Kevin Durant,24,22,32.7,9.3,17.1,0.543,2.5,5.5,0.462,6.8,11.6,0.581,6.1,7.0,0.87,0.4,6.3,6.7,5.2,0.6,1.3,3.7,2.0,27.3,NBA,  BKN,F,32,"$41,063,925  ",41063925.0,0.00555,4
4,Stephen Curry,51,51,34.1,10.2,21.0,0.486,5.1,12.1,0.425,5.1,8.9,0.57,5.6,6.0,0.922,0.5,5.1,5.5,5.9,1.2,0.1,3.3,1.8,31.1,NBA,  GSW,G,32,"$40,231,758  ",40231758.0,0.00544,5
5,Chris Paul,57,57,31.6,6.1,12.5,0.487,1.4,3.6,0.375,4.7,8.8,0.533,2.4,2.6,0.926,0.4,4.2,4.6,8.8,1.4,0.2,2.1,2.3,15.9,NBA,  PHX,G,35,"$39,932,648  ",39932648.0,0.0054,6
6,LeBron James,41,41,33.9,9.5,18.4,0.513,2.4,6.5,0.368,7.1,12.0,0.592,4.1,5.8,0.703,0.6,7.3,7.9,7.9,1.0,0.6,3.7,1.6,25.4,NBA,  LAL,F,35,"$38,328,212  ",38328212.0,0.00518,7
7,Anthony Davis,23,23,32.8,8.9,16.7,0.533,0.7,2.5,0.293,8.1,14.1,0.575,4.0,5.7,0.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5,NBA,  LAL,F,27,"$37,980,720  ",37980720.0,0.00513,8
8,Tobias Harris,49,49,33.3,7.9,15.2,0.521,1.4,3.5,0.407,6.5,11.7,0.555,3.2,3.6,0.886,1.0,6.2,7.2,3.6,0.9,0.9,1.9,2.0,20.5,NBA,  PHI,F,28,"$36,000,000  ",36000000.0,0.00486,9
9,Khris Middleton,55,55,33.5,7.5,15.7,0.479,2.2,5.2,0.426,5.3,10.5,0.504,3.1,3.4,0.889,0.8,5.3,6.1,5.6,1.1,0.2,2.7,2.4,20.2,NBA,  MIL,F,29,"$35,500,000  ",35500000.0,0.0048,10
